4 3 1  | 3	| 0.790000	Solution (brute): 1 	 | 22	| 0.790000	Solution (old): 1 	
4 3 1  | 3	| 0.880000	Solution (brute): 1 	 | 20	| 0.880000	Solution (old): 1 	
4 3 1  | 2	| 0.980000	Solution (brute): 1 	 | 21	| 0.980000	Solution (old): 1 	
4 3 1  | 3	| 0.860000	Solution (brute): 1 	 | 18	| 0.860000	Solution (old): 1 	
4 3 1  | 3	| 0.810000	Solution (brute): 1 	 | 22	| 0.810000	Solution (old): 1 	
5 3 1  | 3	| 0.820000	Solution (brute): 1 	 | 22	| 0.820000	Solution (old): 1 	
5 3 1  | 3	| 0.980000	Solution (brute): 1 	 | 19	| 0.980000	Solution (old): 1 	
5 3 1  | 3	| 0.900000	Solution (brute): 1 	 | 25	| 0.900000	Solution (old): 1 	
5 3 1  | 4	| 0.260000	Solution (brute): 1 	 | 26	| 0.260000	Solution (old): 1 	
5 3 1  | 3	| 0.850000	Solution (brute): 1 	 | 20	| 0.850000	Solution (old): 1 	
6 3 1  | 3	| 0.900000	Solution (brute): 1 	 | 20	| 0.900000	Solution (old): 1 	
6 3 1  | 3	| 0.870000	Solution (brute): 1 	 | 17	| 0.870000	Solution (old): 1 	
6 3 1  | 2	| 0.800000	Solution (brute): 1 	 | 17	| 0.800000	Solution (old): 1 	
6 3 1  | 3	| 0.930000	Solution (brute): 1 	 | 16	| 0.930000	Solution (old): 1 	
6 3 1  | 3	| 0.530000	Solution (brute): 1 	 | 16	| 0.530000	Solution (old): 1 	
7 3 1  | 5	| 0.750000	Solution (brute): 1 	 | 27	| 0.750000	Solution (old): 1 	
7 3 1  | 3	| 0.710000	Solution (brute): 1 	 | 25	| 0.710000	Solution (old): 1 	
7 3 1  | 3	| 0.710000	Solution (brute): 1 	 | 25	| 0.710000	Solution (old): 1 	
7 3 1  | 3	| 0.610000	Solution (brute): 1 	 | 21	| 0.610000	Solution (old): 1 	
7 3 1  | 4	| 0.950000	Solution (brute): 1 	 | 25	| 0.950000	Solution (old): 1 	
8 3 1  | 5	| 0.680000	Solution (brute): 1 	 | 26	| 0.680000	Solution (old): 1 	
8 3 1  | 4	| 0.480000	Solution (brute): 1 	 | 25	| 0.480000	Solution (old): 1 	
8 3 1  | 3	| 0.880000	Solution (brute): 1 	 | 25	| 0.880000	Solution (old): 1 	
8 3 1  | 4	| 0.780000	Solution (brute): 1 	 | 26	| 0.780000	Solution (old): 1 	
8 3 1  | 3	| 0.800000	Solution (brute): 1 	 | 21	| 0.800000	Solution (old): 1 	
9 3 1  | 5	| 0.650000	Solution (brute): 1 	 | 34	| 0.650000	Solution (old): 1 	
9 3 1  | 5	| 0.610000	Solution (brute): 1 	 | 26	| 0.610000	Solution (old): 1 	
9 3 1  | 4	| 0.490000	Solution (brute): 1 	 | 26	| 0.490000	Solution (old): 1 	
9 3 1  | 6	| 0.960000	Solution (brute): 1 	 | 41	| 0.960000	Solution (old): 1 	
9 3 1  | 4	| 0.940000	Solution (brute): 1 	 | 26	| 0.940000	Solution (old): 1 	
1 4 1  | 3	| 0.770000	Solution (brute): 1 	 | 24	| 0.770000	Solution (old): 1 	
1 4 1  | 3	| 0.550000	Solution (brute): 1 	 | 22	| 0.550000	Solution (old): 1 	
1 4 1  | 3	| 0.840000	Solution (brute): 1 	 | 22	| 0.840000	Solution (old): 1 	
1 4 1  | 3	| 0.810000	Solution (brute): 1 	 | 21	| 0.810000	Solution (old): 1 	
1 4 1  | 3	| 0.790000	Solution (brute): 1 	 | 21	| 0.790000	Solution (old): 1 	
2 4 1  | 4	| 0.880000	Solution (brute): 1 	 | 23	| 0.880000	Solution (old): 1 	
2 4 1  | 2	| 0.850000	Solution (brute): 1 	 | 17	| 0.850000	Solution (old): 1 	
2 4 1  | 2	| 0.920000	Solution (brute): 1 	 | 19	| 0.920000	Solution (old): 1 	
2 4 1  | 2	| 0.790000	Solution (brute): 1 	 | 21	| 0.790000	Solution (old): 1 	
2 4 1  | 2	| 0.810000	Solution (brute): 1 	 | 16	| 0.810000	Solution (old): 1 	
3 4 1  | 3	| 0.940000	Solution (brute): 1 	 | 18	| 0.940000	Solution (old): 1 	
3 4 1  | 2	| 0.840000	Solution (brute): 1 	 | 26	| 0.840000	Solution (old): 1 	
3 4 1  | 4	| 0.870000	Solution (brute): 1 	 | 27	| 0.870000	Solution (old): 1 	
3 4 1  | 3	| 0.900000	Solution (brute): 1 	 | 19	| 0.900000	Solution (old): 1 	
3 4 1  | 6	| 0.660000	Solution (brute): 1 	 | 43	| 0.660000	Solution (old): 1 	
4 4 1  | 4	| 0.930000	Solution (brute): 1 	 | 28	| 0.930000	Solution (old): 1 	
4 4 1  | 4	| 0.660000	Solution (brute): 1 	 | 25	| 0.660000	Solution (old): 1 	
4 4 1  | 4	| 0.830000	Solution (brute): 1 	 | 24	| 0.830000	Solution (old): 1 	
4 4 1  | 4	| 0.810000	Solution (brute): 1 	 | 35	| 0.810000	Solution (old): 1 	
4 4 1  | 4	| 0.790000	Solution (brute): 1 	 | 24	| 0.790000	Solution (old): 1 	
5 4 1  | 5	| 0.630000	Solution (brute): 1 	 | 25	| 0.630000	Solution (old): 1 	
5 4 1  | 4	| 0.890000	Solution (brute): 1 	 | 24	| 0.890000	Solution (old): 1 	
5 4 1  | 5	| 0.850000	Solution (brute): 1 	 | 27	| 0.850000	Solution (old): 1 	
5 4 1  | 7	| 0.230000	Solution (brute): 1 	 | 32	| 0.230000	Solution (old): 1 	
5 4 1  | 4	| 0.920000	Solution (brute): 1 	 | 31	| 0.920000	Solution (old): 1 	
6 4 1  | 4	| 0.690000	Solution (brute): 1 	 | 26	| 0.690000	Solution (old): 1 	
6 4 1  | 4	| 0.650000	Solution (brute): 1 	 | 20	| 0.650000	Solution (old): 1 	
6 4 1  | 3	| 0.720000	Solution (brute): 1 	 | 21	| 0.720000	Solution (old): 1 	
6 4 1  | 4	| 0.560000	Solution (brute): 1 	 | 20	| 0.560000	Solution (old): 1 	
6 4 1  | 4	| 0.700000	Solution (brute): 1 	 | 21	| 0.700000	Solution (old): 1 	
7 4 1  | 5	| 0.630000	Solution (brute): 1 	 | 31	| 0.630000	Solution (old): 1 	
